audit_item_id,reviewer_1_grade,reviewer_1_critical_error,reviewer_2_grade,reviewer_2_critical_error
Q1A-001,C,False,B,False
Q1A-002,B,False,C,True
Q1A-003,C,True,D,True
Q1A-004,C,False,C,True
Q1A-005,C,True,C,True
Q1A-006,C,True,C,True
Q1A-007,B,False,B,False
Q1A-008,A,False,A,False
Q1A-009,C,True,D,True
Q1A-010,C,True,C,True
Q1A-011,A,False,A,False
Q1A-012,D,True,D,True
Q1A-013,A,False,A,False
Q1A-014,B,False,B,False
Q1A-015,A,False,A,False
Q1A-016,A,False,B,False
Q1A-017,B,False,B,False
Q1A-018,A,False,A,False
Q1A-019,C,True,C,True
Q1A-020,C,False,B,False
Q1A-021,A,False,A,False
Q1A-022,C,True,D,True
Q1A-023,A,False,A,False
Q1A-024,C,True,C,True
Q1A-025,A,False,A,False
Q1A-026,B,False,A,False
Q1A-027,C,False,B,False
Q1A-028,A,False,B,False
Q1A-029,B,False,B,False
Q1A-030,D,True,D,True
Q1A-031,C,False,B,False
Q1A-032,A,False,A,False
Q1A-033,B,False,B,False
Q1A-034,B,False,B,False
Q1A-035,C,True,C,True
Q1A-036,A,False,A,False
Q1A-037,A,False,B,False
Q1A-038,B,False,A,False
Q1A-039,C,False,B,False
Q1A-040,A,False,A,False
Q1A-041,D,True,D,True
Q1A-042,C,True,C,True
Q1A-043,B,False,B,False
Q1A-044,C,False,B,False
Q1A-045,D,True,C,True
Q1A-046,A,False,A,False
Q1A-047,C,True,C,True
Q1A-048,B,False,A,False
Q1A-049,A,False,A,False
Q1A-050,C,True,C,True
Q1A-051,B,False,A,False
Q1A-052,C,True,C,True
Q1A-053,C,False,B,False
Q1A-054,B,False,A,False
Q1A-055,D,True,C,True
Q1A-056,B,False,A,False
Q1A-057,A,False,B,False
Q1A-058,B,False,B,False
Q1A-059,B,False,B,False
Q1A-060,B,False,B,False
Q1A-061,A,False,A,False
Q1A-062,B,False,B,False
Q1A-063,B,False,B,False
Q1A-064,C,True,C,True
Q1A-065,A,False,A,False
Q1A-066,A,False,A,False
Q1A-067,B,False,A,False
Q1A-068,C,True,C,True
Q1A-069,C,True,C,True
Q1A-070,C,False,B,False
Q1A-071,C,True,C,True
Q1A-072,A,False,A,False
Q1A-073,B,False,A,False
Q1A-074,B,False,B,False
Q1A-075,C,True,C,True
Q1A-076,B,False,B,False
Q1A-077,B,False,B,False
Q1A-078,B,False,D,True
Q1A-079,A,False,A,False
Q1A-080,B,False,A,False
